Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
28.33333,12.07778,,,
28.41667,12.36111,,,
28.5,12.22222,,,
28.58333,12.23889,,,
28.66667,12.33611,,,
28.75,12.52222,,,
28.83333,11.73611,,,
28.91667,12.11667,,,
29.0,12.23889,,,
29.08333,12.2,,,
29.16667,12.04167,,,
29.25,12.3,,,
29.33333,12.41111,,,
29.41667,12.36111,,,
29.5,12.57222,,,
29.58333,11.91667,,,
29.66667,12.12222,,,
29.75,11.55,,,
29.83333,11.70278,,,
29.91667,12.01111,,,
30.0,12.19167,,,
30.08333,12.12222,,,
30.16667,12.41667,,,
30.25,12.31389,,,
30.33333,12.68611,,,
30.41667,11.84722,,,
30.5,11.98889,,,
30.58333,11.85278,,,
30.66667,11.87222,,,
30.75,12.21667,,,
30.83333,12.28889,,,
30.91667,12.04444,,,
31.0,12.13056,,,
31.08333,12.19167,,,
31.16667,11.89167,,,
31.25,11.81944,,,
31.33333,11.69167,,,
31.41667,11.94722,,,
31.5,11.59444,,,
31.58333,12.68889,,,
31.66667,12.20833,,,
31.75,12.525,,,
31.83333,12.40278,,,
31.91667,12.55,,,
32.0,12.16944,,,
32.08333,11.95278,,,
32.16667,12.21389,,,
32.25,12.62222,,,
32.33333,12.06667,,,
32.41667,11.87222,,,
32.5,11.93889,,,
32.58333,12.14167,,,
32.66667,12.08611,,,
32.75,11.90833,,,
32.83333,12.41389,,,
32.91667,12.3,,,
33.0,12.29167,,,
33.08333,12.61389,,,
33.16667,12.41111,,,
33.25,12.41389,,,
33.33333,12.33611,,,
33.41667,12.74722,,,
33.5,12.68611,,,
33.58333,12.44444,,,
33.66667,12.30556,,,
33.75,12.23333,,,
33.83333,12.40278,,,
33.91667,12.62222,,,
34.0,12.18056,,,
34.08333,12.43056,,,
34.16667,12.53611,,,
34.25,12.59167,,,
34.33333,12.56944,,,
34.41667,12.6,,,
34.5,12.26944,,,
34.58333,12.15278,,,
34.66667,12.775,,,
