Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
30.58333,10.84444,,,
30.66667,11.82778,,,
30.75,12.05278,,,
30.83333,12.30278,,,
30.91667,12.18333,,,
31.0,11.93889,,,
31.08333,11.925,,,
31.16667,12.40833,,,
31.25,12.19444,,,
31.33333,11.99722,,,
31.41667,12.56389,,,
31.5,11.45,,,
31.58333,13.125,,,
31.66667,12.62778,,,
31.75,12.72222,,,
31.83333,12.59167,,,
31.91667,12.83333,,,
32.0,12.45278,,,
32.08333,12.62778,,,
32.16667,12.41667,,,
32.25,12.98333,,,
32.33333,13.02778,,,
32.41667,12.25556,,,
32.5,12.34444,,,
32.58333,12.54167,,,
32.66667,12.45556,,,
32.75,12.31389,,,
32.83333,13.0,,,
32.91667,12.73056,,,
33.0,12.81389,,,
33.08333,12.53056,,,
33.16667,12.39167,,,
33.25,12.56389,,,
33.33333,12.80278,,,
33.41667,12.83333,,,
33.5,13.01944,,,
33.58333,12.87222,,,
33.66667,13.00556,,,
33.75,12.69722,,,
33.83333,12.40278,,,
33.91667,13.19167,,,
34.0,12.78056,,,
34.08333,13.00556,,,
34.16667,12.58333,,,
34.25,13.44444,,,
34.33333,12.99167,,,
34.41667,12.83056,,,
34.5,12.73333,,,
34.58333,12.45833,,,
34.66667,13.15833,,,
34.75,13.05278,,,
34.83333,12.72222,,,
34.91667,12.64167,,,
35.0,12.89444,,,
35.08333,13.05278,,,
35.16667,12.81111,,,
35.25,12.56389,,,
35.33333,12.74444,,,
35.41667,13.00556,,,
35.5,12.78611,,,
35.58333,12.67222,,,
35.66667,13.11111,,,
35.75,12.81389,,,
35.83333,13.06389,,,
35.91667,12.66111,,,
36.0,12.92222,,,
36.08333,12.71944,,,
36.16667,12.29444,,,
36.25,12.89444,,,
36.33333,12.66667,,,
36.41667,12.92778,,,
36.5,12.67222,,,
36.58333,12.84167,,,
36.66667,12.51389,,,
36.75,12.92222,,,
36.83333,12.61944,,,
36.91667,13.00556,,,
37.0,12.825,,,
37.08333,12.88056,,,
37.16667,12.78333,,,
37.25,12.50833,,,
37.33333,12.74444,,,
