	time	irradiance	rh	outdoor_temperature
220	56.90901	-0.19695	64.8473	7.3506
221	57.16741	-0.15702	65.5993	7.3521
222	57.4259	-0.22225	67.2143	6.899799999999999
223	57.68437	-0.18039	68.6035	6.7385
224	57.94285	-0.17333	68.8988	6.7791
225	58.20132	-0.198	71.4937	6.5044
226	58.4598	-0.18376	73.2671	6.3285
227	58.71827	-0.20803	74.4152	6.018599999999999
228	58.97677	-0.19704	73.6993	5.7867999999999995
229	59.23523	-0.15133	72.9074	5.961399999999999
230	59.49371	-0.12814	72.1478	5.9503
231	59.7522	-0.14313	73.6223	5.876199999999999
232	60.01066	-0.15497	75.3811	5.5832
233	60.26914	-0.15657	75.07	5.5764
234	60.52761	-0.21218	74.1297	5.155999999999999
235	60.78609	-0.16134	74.5224	5.1394
236	61.04456	-0.17947	73.1879	5.0715
237	61.30306	-0.12827	77.2131	4.9346
238	61.56153	-0.12929	77.7005	4.9396
239	61.82	-0.12922	78.2296	4.904300000000001
240	62.07847	-0.16374	78.4737	4.7916
241	62.33694	-0.15459	78.3908	4.5047
242	62.59542	-0.12258	78.964	4.4773
243	62.85389	-0.10213	78.514	4.6403
244	63.11238	-0.12825	78.3235	4.4362
245	63.37079	-0.15661	79.053	4.1381
246	63.62919	0.00187	79.4132	4.1632
247	63.8876	0.46051	79.9525	4.1265
248	64.14604	1.74351	79.6839	4.1182
249	64.4044	4.84894	79.6179	4.159599999999999
250	64.66283	6.79559	79.4317	4.3068
251	64.92123	11.20286	78.2182	4.5954
252	65.17966	21.8318	77.2896	4.8862
253	65.43805	53.31179	73.3222	5.869999999999999
254	65.69653	63.72881	67.0202	7.9902
255	65.95497	60.37109	66.6345	7.9521999999999995
256	66.21332	60.2638	63.899	8.8781
257	66.47173	67.67291	59.71	9.9083
258	66.73014	81.68372	56.8895	11.0362
259	66.98855	74.4313	55.2136	11.546299999999999
260	67.24695	52.81637	55.0229	11.5974
261	67.50536	41.44053	53.7653	11.976600000000001
262	67.76377	73.05432	53.6779	12.035299999999998
263	68.02217	62.41639	51.7056	12.6867
264	68.28059	71.75736	49.7246	13.5018
265	68.53899	99.75744	46.9048	14.58
266	68.7974	85.63688	44.8994	15.1429
267	69.0558	78.80169	45.275	15.5489
268	69.31422	81.55542	47.5031	16.2295
269	69.57262	76.91515	48.858	16.8902
270	69.83103	90.61568	49.7961	17.0651
271	70.08944	84.92026	48.6413	17.4736
272	70.34784	54.06733	49.4689	17.3095
273	70.60625	68.51172	49.5993	17.3162
274	70.86466	44.01727	49.2481	17.4758
275	71.12306	59.8921	51.6322	17.3826
276	71.38147	45.6581	55.1745	17.0169
277	71.63988	49.03928	58.1451	16.8088
278	71.89828	30.11756	61.65599999999999	16.346300000000003
279	72.15669	13.61866	63.34439999999999	16.1265
280	72.4151	10.47415	63.8124	15.9665
281	72.67351	6.94309	66.1234	15.629999999999999
282	72.93192	4.65086	68.0931	15.1615
283	73.19033	2.45226	69.3207	14.8909
284	73.44876	0.33124	71.9819	14.3515
285	73.70713	-0.12091	74.0552	13.951
286	73.96554	-0.19639	75.2797	13.6996
287	74.22396	-0.19363	76.2326	13.4133
288	74.48237	-0.17877	76.0305	13.3327
289	74.74077	-0.18033	76.004	13.2436
290	74.99918	-0.15427	76.5413	13.0103
291	75.25759	-0.15437	77.96180000000001	12.7411
292	75.51599	-0.12071	78.3221	12.8463
293	75.7744	-0.13971	78.8013	12.371200000000002
294	76.03282	-0.07946	80.4498	11.8527
295	76.29122	-0.19507	80.4552	11.6848
296	76.54962	-0.17294	81.5663	11.4035
297	76.80802	-0.17078	82.73	11.0382
298	77.06644	-0.0891	83.3291	10.9725
299	77.32484	0.00571	83.6154	11.1524
300	77.58325	-0.01874	82.6561	11.1624
301	77.84166	-0.12452	83.0186	11.1505
302	78.10006	-0.1227	83.6041	10.8924
303	78.35847	-0.17793	84.3019	10.6764
304	78.61689	-0.06859	85.1983	10.5001
305	78.87528	0.03636	85.749	10.4972
306	79.13369	0.03784	84.9134	10.6486
307	79.3921	0.02668	83.4182	10.9113
308	79.65051	-0.08153	82.7655	11.0991
309	79.90891	-0.00883	84.3935	10.7703
310	80.16734	0.01555	84.5724	10.9501
311	80.42573	-0.19791	83.921	11.0568
312	80.68414	-0.15066	84.4286	10.8215
313	80.94254	-0.18682	85.5737	10.6762
314	81.20096	-0.15575	87.0123	10.3186
315	81.45936	-0.12185	87.9224	10.1736
316	81.71778	-0.07724	88.2587	10.2095
317	81.97617	-0.01751	87.8328	10.3166
318	82.23458	0.01489	86.8483	10.4803
319	82.49299	-0.0234	86.3998	10.5812
320	82.75139	0.00101	86.0157	10.6924
321	83.00981	-0.0401	85.4875	10.7826
322	83.26821	-0.08945	87.3717	10.0851
323	83.52662	0.00856	87.571	10.3915
324	83.78502	-0.13092	86.5761	10.6422
325	84.04343	-0.07565	87.1863	10.3379
326	84.30185	-0.16391	88.0168	10.0626
327	84.56024	-0.1247	88.2383	9.8494
328	84.81866	-0.15077	87.2799	9.6698
329	85.07707	-0.07844	87.0409	9.527
330	85.33546	-0.07971	86.121	9.5216
331	85.59387	-0.12789	85.855	9.5745
332	85.85227	-0.18243	86.1057	9.3945
333	86.11069	-0.16054	85.848	9.2737
334	86.36909	-0.12851	85.7585	9.0164
335	86.6275	-0.0369	85.9005	8.9838
336	86.88591	-0.0084	84.0762	8.9477
337	87.14435	-0.05852	83.7124	9.0324
338	87.40272	0.02053	83.1398	9.5449
339	87.66114	0.00504	79.9183	9.9978
340	87.91953	0.12455	78.3165	10.8629
341	88.17803	0.22436	75.3466	11.4217
342	88.43643	0.43899	75.3963	10.6613
343	88.69484	1.38083	77.3871	10.5925
344	88.95332	2.17699	75.1292	11.0432
345	89.21172	4.30989	72.4005	11.4409
346	89.47013	4.82514	71.402	11.7744
347	89.72854	4.27936	70.6362	11.684900000000003
348	89.98695	3.61799	69.6514	11.6368
349	90.24535	2.2859	69.5067	11.705
350	90.50375	1.21369	70.1075	11.7305
351	90.76216	1.21144	74.9702	11.490999999999998
352	91.02056	2.00154	81.6637	10.7517
353	91.27905	2.17878	82.2589	10.7028
354	91.5376	2.87175	83.1285	10.5526
355	91.796	6.17868	83.1952	10.2683
356	92.0544	4.90789	83.3805	10.3584
357	92.31282	5.67605	84.0428	10.6443
358	92.57132	7.26084	84.5605	10.6242
359	92.8297	9.24531	85.4019	10.8551
360	93.0881	16.49979	85.1849	10.9008
361	93.34651	42.2336	83.0986	11.9254
362	93.60492	36.41977	80.1294	12.722500000000002
363	93.86359	19.86604	77.9384	13.0125
364	94.12202	12.26969	76.2733	12.5827
365	94.38042	15.78539	73.8572	12.734899999999998
366	94.63883	16.33704	72.5129	12.955
367	94.89725	55.41559	68.8147	13.298
368	95.15566	80.72233	66.0504	13.8187
369	95.41405	81.5771	61.68719999999999	14.4428
370	95.67246	76.7044	60.62779999999999	14.778
371	95.93086	71.69608	60.164	14.307
372	96.18934	3.44633	60.88289999999999	14.273100000000001
373	96.44782	3.21161	60.7559	14.238100000000001
374	96.70624	3.06102	59.5904	14.2487
375	96.96463	2.40185	62.4988	14.1056
376	97.22305	1.20429	64.8876	13.696800000000001
377	97.48144	0.38968	66.192	13.317199999999998
378	97.73985	-0.1165	68.2298	12.9329
379	97.99826	-0.26336	71.3957	12.2824
380	98.25667	-0.24448	72.7088	11.884900000000002
381	98.51507	-0.2764	74.3374	11.1891
382	98.7735	-0.21634	76.4509	10.9144
383	99.0319	-0.22493	77.3935	10.7148
384	99.2903	-0.21121	80.2448	10.1037
385	99.5487	-0.21574	81.1017	9.3737
386	99.80711	-0.14998	82.4749	9.5205
387	100.06552	-0.14146	81.3366	9.5991
388	100.32393	-0.15201	80.4498	9.8071
389	100.58232	-0.19113	82.9447	9.227
390	100.84073	-0.14061	82.9331	9.2601
391	101.09914	-0.18452	82.6917	9.0948
392	101.35754	-0.20005	84.6284	8.4951
393	101.61595	-0.17278	86.627	8.3278
394	101.87436	-0.12699	85.2296	8.5108
395	102.13277	-0.13933	86.0317	8.3166
396	102.39118	-0.18227	86.5796	8.3731
397	102.64958	-0.23949	85.7375	7.8512
398	102.90799	-0.1768	87.5967	7.597099999999999
399	103.16639	-0.18349	87.9428	7.512699999999999
400	103.42519	-0.17363	88.6041	7.5319
401	103.68356	-0.19231	87.8345	7.1899
402	103.94197	-0.1496	89.6467	7.267099999999999
403	104.20038	-0.20551	88.1207	7.0822
404	104.45878	-0.17121	88.503	7.080399999999999
405	104.71718	-0.1902	87.1942	7.101899999999999
406	104.97559	-0.22026	88.0464	6.693399999999999
407	105.23401	-0.1638	87.9072	6.687299999999999
408	105.49241	-0.19184	87.1145	6.793699999999999
409	105.75082	-0.21415	85.7692	6.617099999999999
410	106.00924	-0.23446	86.9454	6.140699999999999
